"REF_DATE","GEO","DGUID","Supply and disposition","Products","Unit of measure","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2023-06","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","7626","","","","0"
"2023-07","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","5608","","","","0"
"2023-08","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","8498","","","","0"
"2023-09","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","5158","","","","0"
"2023-10","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","4114","","","","0"
"2023-11","Manitoba","2016A000246","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228271","8.4.17.1","3433","","","","0"
"2022-01","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1316","","","","0"
"2022-02","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1616","","","","0"
"2022-03","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1900","","","","0"
"2022-04","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1285","","","","0"
"2022-05","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1563","","","","0"
"2022-06","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1684","","","","0"
"2022-07","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1859","","","","0"
"2022-08","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1606","","","","0"
"2022-09","Saskatchewan","2016A000247","Imports, supply","Finished petroleum products","Cubic metres","Cubic metres","72","units","0","v1251228392","9.4.17.1","1299","","","","0"
